timestamp,session_id,feature,turn_count,cum_input_tokens,cum_output_tokens,cum_cache_creation_tokens,cum_cache_read_tokens,read,glob,grep,ls,edit,write,bash
2026-08-30T01:14:18+09:00,7ca77cad-b317-4d4b-aa44-6dfefbfec28b,unspecified,73,146,65918,207673,5924783,5,0,0,0,7,14,9
2026-09-07T01:22:19+09:00,c213d54e-e7a1-467e-80f4-ff67714ca46c,unspecified,48,96,46920,110083,3905855,3,0,0,0,1,8,7
2026-09-07T01:23:17+09:00,e8e104b5-d6b1-49ad-96b7-16f00d5052a5,unspecified,21,42,18153,86502,1070281,4,3,1,0,1,0,3
2026-09-07T01:23:39+09:00,63616707-2414-41a7-93ed-cd3c71694909,unspecified,2,4,926,17352,52604,0,0,0,0,0,0,0
2026-09-07T01:25:34+09:00,5b5a89f0-8959-48f6-952b-b2bb6634720e,unspecified,12,24,5958,36322,421394,4,0,0,0,2,0,0
2026-09-07T01:26:13+09:00,72ef2dee-0ef5-47a0-bcd6-38a053c5b914,unspecified,11,22,3937,29015,387039,4,0,0,0,1,0,0
2026-09-07T01:28:54+09:00,c213d54e-e7a1-467e-80f4-ff67714ca46c,unspecified,86,172,72653,143713,7996294,8,0,0,0,4,9,13
2026-09-07T02:17:39+09:00,18a9e8b4-638e-4479-af19-2964bd3c6a53,unspecified,53,106,26721,86941,2621593,4,0,0,0,0,5,11
2026-09-07T02:25:40+09:00,ed1f7230-40f7-446f-adfe-210ba1003749,unspecified,59,118,52491,158746,3489535,10,3,0,0,5,3,7
2026-09-07T02:38:47+09:00,8a6580e3-1161-4364-a9b8-5420e158fb7f,unspecified,116,232,50587,190082,7509634,10,3,0,0,3,1,13
2026-09-07T02:52:44+09:00,36a64ed2-075c-45c7-b02c-4f0f5bfe5c0d,unspecified,64,128,83422,210553,4051459,8,3,0,0,3,0,6
2026-09-07T03:02:35+09:00,e1d31447-4fc9-421b-a832-95b9b2625568,unspecified,81,162,38234,196738,4674223,11,5,1,0,2,2,8
2026-09-07T03:08:44+09:00,b4dd7bd1-f799-4fd7-a4f1-69cee4384367,unspecified,54,108,25983,142213,2417031,11,2,0,0,2,3,7
2026-09-07T03:17:05+09:00,541e4eb1-82ad-4efe-855a-55d0d7bb9d86,unspecified,55,110,38490,157925,2640934,12,2,0,0,2,0,5
2026-09-07T03:33:12+09:00,890d0c51-f1f3-4367-a20d-509eb7437cbd,unspecified,116,232,81651,251724,9282543,18,5,0,0,6,3,7
2026-09-07T03:43:57+09:00,955df252-f2e4-43a9-997d-b2944fcf7165,unspecified,77,154,75381,225281,5108433,17,2,0,0,5,5,6
2026-09-07T03:52:51+09:00,c66c640f-e860-4a5a-89ba-7f4d2deb4aab,unspecified,53,106,57291,197789,3288068,14,3,0,0,4,2,3
2026-09-07T04:03:41+09:00,eb2ece1f-c90d-40fc-b34a-cb6e63048690,unspecified,72,144,42675,185634,5098672,10,1,0,0,4,0,6
2026-09-07T04:17:58+09:00,16f3f2dd-8696-4992-9d1f-dc22554856c8,unspecified,106,212,70210,225924,9234549,16,3,0,0,3,4,14
2026-09-07T04:24:33+09:00,417eb2d6-e040-4397-8ed4-a4fce66be467,unspecified,50,100,35572,161084,2877720,10,2,0,0,2,4,5
2026-09-07T04:34:17+09:00,2ebd1839-efd1-42b0-a5a2-7efee0eee33e,unspecified,54,108,37169,247881,3606935,14,2,0,0,3,0,5
2026-09-07T04:43:24+09:00,f38e0326-72a8-430b-bcbb-8f84f4dadbdc,unspecified,62,124,42414,245521,4665497,14,1,0,0,11,1,3
2026-09-07T05:25:18+09:00,37a220d5-5b71-4a0b-b650-ecad370e8311,unspecified,112,224,77105,314459,11489662,14,3,0,0,7,4,7
2026-09-07T05:41:32+09:00,3d3f612d-3f8d-4a3b-8cfd-0a4031efddf4,unspecified,80,160,88770,249282,7239431,9,2,1,0,5,0,11
2026-09-07T08:17:20+09:00,c213d54e-e7a1-467e-80f4-ff67714ca46c,unspecified,132,264,128433,421408,15051353,9,0,0,0,7,9,20
2026-09-07T08:27:59+09:00,b17f8ab8-9c02-46ee-b3ec-dc5279207eed,unspecified,122,244,83559,294139,13347272,10,0,2,0,11,1,7
2026-09-07T08:44:03+09:00,ef2e21fd-d5c2-4929-bcb7-60c358c3c148,unspecified,126,252,101638,382087,14740916,13,3,1,0,11,4,11
2026-09-07T09:14:39+09:00,8ad0ec4d-b53f-4a98-92c3-70f3f7155422,unspecified,191,382,276501,1023558,30553268,11,0,0,0,12,10,33
