timestamp,session_id,feature,turn_count,cum_input_tokens,cum_output_tokens,cum_cache_creation_tokens,cum_cache_read_tokens,read,glob,grep,ls,edit,write,bash
2026-08-30T22:59:04+09:00,b6fd1f08-2edf-45cc-a012-ac2df680295a,unspecified,96,192,110392,290072,11839822,4,2,0,0,1,4,4
2026-08-30T23:26:03+09:00,a1a992ef-e68d-471a-a2d2-9eb63677c9ac,unspecified,152,304,175517,619247,22508583,5,2,0,0,5,6,5
2026-08-31T00:33:10+09:00,a1a992ef-e68d-471a-a2d2-9eb63677c9ac,unspecified,413,826,386602,890147,100732785,16,2,0,0,24,8,20
2026-09-02T00:00:29+09:00,a1a992ef-e68d-471a-a2d2-9eb63677c9ac,unspecified,439,878,452205,1603386,109786828,19,2,0,0,27,11,24
2026-09-02T00:03:34+09:00,a1a992ef-e68d-471a-a2d2-9eb63677c9ac,unspecified,449,898,457535,1618932,113804196,19,2,0,0,27,11,25
2026-09-02T00:27:51+09:00,a1a992ef-e68d-471a-a2d2-9eb63677c9ac,unspecified,592,1182,591066,2386682,164690678,20,2,0,0,28,14,39
2026-09-02T00:31:00+09:00,a1a992ef-e68d-471a-a2d2-9eb63677c9ac,unspecified,606,1210,616272,2408704,171073536,20,2,0,0,28,14,45
2026-09-02T00:39:06+09:00,a1a992ef-e68d-471a-a2d2-9eb63677c9ac,unspecified,610,1218,619870,2409980,172944382,20,2,0,0,28,14,45
2026-09-02T00:41:15+09:00,a1a992ef-e68d-471a-a2d2-9eb63677c9ac,unspecified,616,1230,623158,3283948,174892608,20,2,0,0,28,14,46
2026-09-06T23:24:23+09:00,a1a992ef-e68d-471a-a2d2-9eb63677c9ac,unspecified,677,1348,759997,6018106,204101158,22,2,0,0,29,15,57
2026-09-07T01:11:30+09:00,a1a992ef-e68d-471a-a2d2-9eb63677c9ac,unspecified,691,1376,772619,7249904,211999296,22,2,0,0,29,15,63
